type	latitude	longitude	altitude (m)	name	desc
W	33.898950000	-117.960860000	111.5	Mile 1	
W	33.911830000	-117.959020000	103.2	Mile 2	
W	33.930400000	-117.959170000	85.9	Mile 3	
W	33.943410000	-117.958060000	129.4	Mile 5	
W	33.953320000	-117.962290000	156.3	Mile 6	
W	33.965090000	-117.961450000	270.5	Mile 7	
W	33.968180000	-117.966630000	303.3	Mile 8	
W	33.958590000	-117.960890000	184.6	Mile 9	
W	33.948650000	-117.958090000	169.8	Mile 10	
W	33.934520000	-117.959200000	96.4	Mile 11	
W	33.919790000	-117.959250000	79.6	Mile 12	
W	33.905350000	-117.956730000	143.1	Mile 13	
W	33.896550000	-117.965750000	107.4	Mile 14	
W	33.889060000	-117.963910000	72.7	Casolero	

type	latitude	longitude	altitude (m)	name	desc
T	33.889060000	-117.963910000	72.7	Casolero	
T	33.889050000	-117.965310000	71.4		
T	33.888960000	-117.966220000	69.8		
T	33.888960000	-117.966220000	69.8		
T	33.888950000	-117.966260000	69.9		
T	33.889340000	-117.966310000	72.4		
T	33.889800000	-117.966290000	75.2		
T	33.890090000	-117.966230000	77.5		
T	33.890660000	-117.966010000	81.4		
T	33.891580000	-117.965710000	87.5		
T	33.892350000	-117.965450000	93.7		
T	33.893030000	-117.965250000	99.3		
T	33.893480000	-117.965170000	101.5		
T	33.894050000	-117.965150000	104.7		
T	33.894050000	-117.965150000	104.7		
T	33.894340000	-117.965170000	106.4		
T	33.894500000	-117.965210000	107.2		
T	33.895220000	-117.965500000	107.0		
T	33.895930000	-117.965810000	106.3		
T	33.896030000	-117.965760000	106.4		
T	33.896130000	-117.965750000	106.4		
T	33.896410000	-117.965760000	107.0		
T	33.896890000	-117.965690000	108.7		
T	33.897220000	-117.965650000	110.0		
T	33.897560000	-117.965570000	111.3		
T	33.897860000	-117.965430000	112.3		
T	33.898050000	-117.965330000	113.2		
T	33.898250000	-117.965180000	114.0		
T	33.898250000	-117.965180000	114.0		
T	33.898360000	-117.965090000	114.4		
T	33.898740000	-117.964660000	116.2		
T	33.898920000	-117.964400000	117.0		
T	33.899010000	-117.964220000	117.3		
T	33.899140000	-117.963890000	117.9		
T	33.899270000	-117.963290000	116.8		
T	33.899300000	-117.963010000	116.6		
T	33.899300000	-117.962800000	116.1		
T	33.899270000	-117.962350000	114.7		
T	33.898950000	-117.960860000	111.5		
T	33.899050000	-117.960840000	111.9		
T	33.898980000	-117.960550000	111.9		
T	33.898940000	-117.960350000	112.7		
T	33.898940000	-117.960350000	112.7		
T	33.898920000	-117.960260000	113.0		
T	33.898890000	-117.959760000	115.1		
T	33.898910000	-117.959290000	116.9		
T	33.899000000	-117.958840000	117.4		
T	33.899120000	-117.958430000	121.0		
T	33.899330000	-117.958000000	123.0		
T	33.899620000	-117.957560000	125.3		
T	33.899780000	-117.957380000	126.0		
T	33.900110000	-117.957050000	126.6		
T	33.900450000	-117.956820000	127.2		
T	33.900770000	-117.956680000	126.8		
T	33.901080000	-117.956590000	125.9		
T	33.901450000	-117.956550000	124.5		
T	33.901450000	-117.956450000	124.3		
T	33.901760000	-117.956410000	122.9		
T	33.902200000	-117.956370000	124.1		
T	33.902840000	-117.956360000	127.6		
T	33.903510000	-117.956390000	131.0		
T	33.904200000	-117.956440000	136.7		
T	33.904930000	-117.956580000	141.8		
T	33.905190000	-117.956660000	142.9		
T	33.905640000	-117.956870000	144.7		
T	33.905990000	-117.957070000	145.0		
T	33.906360000	-117.957410000	144.8		
T	33.906950000	-117.957810000	141.6		
T	33.906950000	-117.957810000	141.6		
T	33.907270000	-117.958010000	139.0		
T	33.907490000	-117.958140000	137.4		
T	33.907590000	-117.958170000	136.6		
T	33.907730000	-117.958200000	135.4		
T	33.907820000	-117.958240000	134.7		
T	33.908190000	-117.958410000	131.9		
T	33.908530000	-117.958530000	129.1		
T	33.909320000	-117.958660000	122.8		
T	33.910230000	-117.958790000	115.7		
T	33.911830000	-117.959020000	103.2		
T	33.912500000	-117.959100000	98.9		
T	33.912740000	-117.959080000	97.9		
T	33.913150000	-117.959090000	96.3		
T	33.913280000	-117.959090000	95.9		
T	33.913340000	-117.959150000	95.7		
T	33.913600000	-117.959160000	94.4		
T	33.914720000	-117.959160000	83.7		
T	33.916040000	-117.959160000	75.5		
T	33.916040000	-117.959160000	75.5		
T	33.918450000	-117.959170000	71.6		
T	33.919250000	-117.959230000	75.4		
T	33.919790000	-117.959250000	79.6		
T	33.920620000	-117.959210000	80.6		
T	33.921030000	-117.959180000	80.3		
T	33.921880000	-117.959170000	76.6		
T	33.923320000	-117.959170000	73.9		
T	33.924640000	-117.959180000	78.5		
T	33.926240000	-117.959170000	80.4		
T	33.926240000	-117.959170000	80.4		
T	33.930400000	-117.959170000	85.9		
T	33.933680000	-117.959200000	94.6		
T	33.933680000	-117.959200000	94.6		
T	33.939060000	-117.959190000	107.1		
T	33.939170000	-117.959190000	107.5		
T	33.939170000	-117.959230000	107.4		
T	33.939170000	-117.959230000	107.4		
T	33.939160000	-117.957020000	107.6		
T	33.939160000	-117.957020000	107.6		
T	33.941110000	-117.957060000	116.4		
T	33.941580000	-117.957080000	118.7		
T	33.942060000	-117.957300000	121.5		
T	33.942490000	-117.957580000	124.6		
T	33.943410000	-117.958060000	129.4		
T	33.944420000	-117.958060000	134.4		
T	33.945620000	-117.958080000	141.7		
T	33.948650000	-117.958090000	169.8		
T	33.949110000	-117.958110000	176.1		
T	33.949110000	-117.958110000	176.1		
T	33.949170000	-117.958160000	177.0		
T	33.949300000	-117.958500000	175.8		
T	33.949430000	-117.958820000	175.0		
T	33.949630000	-117.959070000	173.7		
T	33.949690000	-117.959170000	172.7		
T	33.949730000	-117.959310000	171.6		
T	33.949740000	-117.959580000	167.6		
T	33.949770000	-117.959850000	165.0		
T	33.949790000	-117.959950000	164.0		
T	33.949740000	-117.960990000	156.3		
T	33.949730000	-117.962200000	150.2		
T	33.949730000	-117.962200000	150.2		
T	33.949730000	-117.962270000	149.8		
T	33.949950000	-117.962130000	150.4		
T	33.950710000	-117.961660000	150.3		
T	33.952120000	-117.960790000	151.5		
T	33.952310000	-117.960650000	150.9		
T	33.952640000	-117.960330000	151.0		
T	33.952670000	-117.960290000	151.2		
T	33.952670000	-117.960290000	151.2		
T	33.952640000	-117.960330000	151.0		
T	33.952700000	-117.960440000	151.3		
T	33.953320000	-117.962290000	156.3		
T	33.953320000	-117.962290000	156.3		
T	33.954890000	-117.961550000	165.5		
T	33.955420000	-117.961300000	168.8		
T	33.955570000	-117.961260000	169.5		
T	33.958500000	-117.960890000	184.3		
T	33.958530000	-117.960890000	184.4		
T	33.958530000	-117.960890000	184.4		
T	33.958590000	-117.960890000	184.6		
T	33.958650000	-117.960930000	184.7		
T	33.958740000	-117.961010000	184.6		
T	33.958850000	-117.961050000	185.2		
T	33.959120000	-117.961150000	186.1		
T	33.959620000	-117.961360000	186.9		
T	33.959780000	-117.961490000	186.2		
T	33.960310000	-117.961640000	189.8		
T	33.960390000	-117.961660000	190.6		
T	33.960490000	-117.961640000	192.1		
T	33.960750000	-117.961540000	197.2		
T	33.961040000	-117.961420000	201.7		
T	33.961340000	-117.961400000	206.3		
T	33.961490000	-117.961470000	207.3		
T	33.961590000	-117.961620000	206.6		
T	33.961720000	-117.961980000	206.7		
T	33.961820000	-117.962140000	208.1		
T	33.961940000	-117.962250000	208.9		
T	33.962140000	-117.962330000	210.9		
T	33.962290000	-117.962340000	212.7		
T	33.962400000	-117.962310000	214.1		
T	33.962490000	-117.962240000	215.2		
T	33.962600000	-117.962100000	217.5		
T	33.962810000	-117.961690000	223.2		
T	33.963020000	-117.961380000	227.8		
T	33.963020000	-117.961380000	227.8		
T	33.963050000	-117.961340000	228.3		
T	33.963180000	-117.961340000	229.1		
T	33.963340000	-117.961530000	230.5		
T	33.963530000	-117.961840000	234.5		
T	33.963640000	-117.962010000	235.5		
T	33.963730000	-117.962070000	236.4		
T	33.963830000	-117.962090000	237.8		
T	33.963910000	-117.962070000	239.3		
T	33.963980000	-117.961940000	242.0		
T	33.963900000	-117.961550000	245.6		
T	33.963920000	-117.961400000	246.6		
T	33.963990000	-117.961240000	248.2		
T	33.964050000	-117.960880000	251.5		
T	33.964120000	-117.960750000	252.9		
T	33.964220000	-117.960650000	253.3		
T	33.964320000	-117.960610000	253.8		
T	33.964430000	-117.960610000	254.7		
T	33.964580000	-117.960710000	259.9		
T	33.964740000	-117.960880000	262.2		
T	33.964990000	-117.961230000	267.5		
T	33.965090000	-117.961450000	270.5		
T	33.965270000	-117.961940000	275.0		
T	33.965380000	-117.962140000	277.3		
T	33.965670000	-117.962470000	279.2		
T	33.965800000	-117.962640000	280.8		
T	33.965990000	-117.962820000	282.8		
T	33.966270000	-117.962990000	284.2		
T	33.966840000	-117.963260000	289.5		
T	33.966950000	-117.963360000	290.7		
T	33.967020000	-117.963470000	293.4		
T	33.967140000	-117.963680000	295.1		
T	33.967390000	-117.964330000	303.8		
T	33.967670000	-117.964740000	305.2		
T	33.967670000	-117.964740000	305.2		
T	33.967840000	-117.965040000	304.7		
T	33.967970000	-117.965390000	308.0		
T	33.968060000	-117.965760000	305.9		
T	33.968110000	-117.966190000	304.5		
T	33.968180000	-117.966630000	303.3		
T	33.968250000	-117.966760000	302.7		
T	33.968350000	-117.966840000	301.9		
T	33.968540000	-117.966920000	301.3		
T	33.968910000	-117.966910000	298.8		
T	33.969230000	-117.966900000	296.5		
T	33.969410000	-117.966830000	295.8		
T	33.969660000	-117.966690000	298.7		
T	33.969820000	-117.966570000	301.5		
T	33.969900000	-117.966660000	301.7		
T	33.970560000	-117.967460000	301.2		
T	33.970780000	-117.967740000	300.1		
T	33.970850000	-117.967870000	301.8		
T	33.971080000	-117.968780000	302.8		
T	33.971170000	-117.969140000	303.0		
T	33.971190000	-117.969230000	303.0		
T	33.971170000	-117.969250000	302.7		
T	33.971170000	-117.969250000	302.7		
T	33.971170000	-117.969250000	302.7		
T	33.971190000	-117.969230000	303.0		
T	33.971170000	-117.969140000	303.0		
T	33.971080000	-117.968780000	302.8		
T	33.970850000	-117.967870000	301.8		
T	33.970780000	-117.967740000	300.1		
T	33.970560000	-117.967460000	301.2		
T	33.969900000	-117.966660000	301.7		
T	33.969820000	-117.966570000	301.5		
T	33.969660000	-117.966690000	298.7		
T	33.969410000	-117.966830000	295.8		
T	33.969230000	-117.966900000	296.5		
T	33.968910000	-117.966910000	298.8		
T	33.968540000	-117.966920000	301.3		
T	33.968350000	-117.966840000	301.9		
T	33.968250000	-117.966760000	302.7		
T	33.968180000	-117.966630000	303.3		
T	33.968110000	-117.966190000	304.5		
T	33.968060000	-117.965760000	305.9		
T	33.967970000	-117.965390000	308.0		
T	33.967840000	-117.965040000	304.7		
T	33.967670000	-117.964740000	305.2		
T	33.967670000	-117.964740000	305.2		
T	33.967390000	-117.964330000	303.8		
T	33.967140000	-117.963680000	295.1		
T	33.966950000	-117.963360000	290.7		
T	33.966840000	-117.963260000	289.5		
T	33.966590000	-117.963140000	287.8		
T	33.966120000	-117.962900000	283.7		
T	33.965990000	-117.962820000	282.8		
T	33.965800000	-117.962640000	280.8		
T	33.965380000	-117.962140000	277.3		
T	33.965170000	-117.961710000	273.7		
